"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"1","1","1","The Power","Robert Alvarez, Brian Sheesley","J. G. Quintel","2010-09-06","2.1","8.8"
"2","1","2","Just Set Up the Chairs","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-09-13","1.9","8.8"
"3","1","3","Caffeinated Coffee Tickets","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth","2010-09-20","1.72","8.5"
"4","1","4","Death Punchies","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth, Jake Armstrong","2010-09-27","1.98","8.9"
"5","1","5","Free Cake","Robert Alvarez, Brian Sheesley","Kat Morris, Paul Scarlata","2010-10-04","2.1","8.5"
"6","1","6","Meat Your Maker","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-10-11","1.87","8.4"
"7","1","7","Grilled Cheese Deluxe","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-10-18","2.16","8.8"
"8","1","8","The Unicorns Have Got to Go","Robert Alvarez, Brian Sheesley","Kat Morris, Paul Scarlata","2010-10-25","2.42","7.6"
"9","1","9","Prank Callers","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth, Kent Osborne","2010-11-01","2.1","9"
"10","1","10","Don","Robert Alvarez, Brian Sheesley","Benton Connor, Kat Morris, J. G. Quintel","2010-11-08","2.09","8.7"
"11","1","11","Rigby's Body","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth","2010-11-15","1.93","8.6"
"12","1","12","Mordecai and the Rigbys","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-11-22","2.03","9.2"
"13","2","1","Ello Gov'nor","Robert Alvarez","Sean Szeles, Shion Takeuchi","2010-11-29","2.07","9.1"
"14","2","2","It's Time","Robert Alvarez","Benton Connor, Calvin Wong","2011-01-03","1.67","8.8"
"15","2","3","Appreciation Day","Robert Alvarez","Kat Morris, Paul Scarlata","2011-01-10","1.72","8.5"
"16","2","4","Peeps","Robert Alvarez","Benton Connor, Calvin Wong","2011-01-17","1.98","8.7"
"17","2","5","Dizzy","Robert Alvarez","Sean Szeles, Shion Takeuchi","2011-01-24","2.1","8.4"
"18","2","6","My Mom","Robert Alvarez","Kat Morris","2011-01-31","1.83","8"
